bedrijf,medewerker_id,naam,leeftijd,geslacht,afkomst,provincie,studie_niveau,opleidingsrichting,specialisatie,werkervaring_jaren,dienstjaren,functie,afdeling,team,senioriteit,mindset,persoonlijkheidsstijl,politiek,technologische_kennis,%_werk_op_computer,%_werk_met_machines,mobiliteit,lease_auto,thuiswerkpercentage,communicatiestijl,feedbackstijl,leiderschapstype,besluitvormingstype,gebruik_van_data,trainingen_per_jaar,deelname_AI_project,deelname_communities,mentorschap,sociale_connecties_op_werk,werktevredenheid,zingeving_in_werk,burnout_risico,autonomie,invloed_op_beslissingen,verwachting_AI_in_werk,kennis_nieuwe_technologie,projectcomplexiteit,werkdruk,rol_in_verandering,houding_risico,conformisme,creativiteit,leerstijl,motivatiebron,compliance_bewustzijn,veiligheidscultuur_HSE,IT_afhankelijkheid_rol,field_vs_kantoor,shiftwerk,klantcontact_intensiteit,stakeholder_complexiteit,regulering_exposure,budgetverantwoordelijkheid,besluitsnelheid_persoonlijk,veranderhistorie_succes,tech_champion_netwerk,tooling_voorkeur,documentatiediscipline,kwaliteitsfocus,duurzaamheidshouding,inclusieve_houding,vertrouwen_in_management,vertrouwen_in_collegas,issue_escalatiestijl,besluit_rationaliteit,teamgrootte,salaris_per_maand_eur
Volker Nexus Group,VNG-K8CLEX,Alexander Jeggij-Rijn,45,M,Nederlands,Noord-Holland,HBO,Kwaliteitsmanagement,Prefab/Modulair,2,2,Monteur W-tech,KAM/HSSE,Team-35,Junior,Conservatief,ESFJ,Rechts,1,40,50,Te voet,Ja,100,Informeel,Direct,Coachend,Autonoom,Zelden,3,Ja,1,Mentor,Gemiddeld,5,3,4,4,3,Neutraal,3,Hoog,2,Volger,Neutraal,Hoog,1,Klassikaal,Status,3,1,Midden,100% field,2-ploeg,Hoog,Laag,Hoog,Middel,Snel,Laag,Ja,Google Meet,4,2,Sceptisch,2,4,2,Proactief,Data-gedreven,6,3287
Volker Nexus Group,VNG-GH6FEM,Annemijn Lamore,24,V,Nederlands,Groningen,WO,Werktuigbouwkunde,ISO-9001,19,3,Engineer E,ICT,Team-23,Senior,Neutraal,INFP,Centrum,4,100,22,OV,Ja,25,Informeel,Indirect,Ondersteunend,Consensus,Wekelijks,0,Ja,2,Beide,Gemiddeld,4,4,3,5,1,Neutraal,2,Gemiddeld,1,Change champion,Risk-averse,Midden,5,Coaching,Geld,2,1,Midden,50/50,2-ploeg,Hoog,Midden,Hoog,Klein,Gemiddeld,Laag,Nee,Zoom,3,5,Sceptisch,5,3,5,Formalistisch,Data-gedreven,33,9906
Volker Nexus Group,VNG-DLJQXQ,Jayson van Haspengouw Hesbaye-Beourgeois,25,X,Nederlands,Limburg,HBO,Projectmanagement,NEN-2767,3,0,Product Owner,Uitvoering,Team-27,Junior,Neutraal,ENTP,Centrum-links,4,70,7,OV,Nee,0,Feitelijk,Indirect,Sturend,Consensus,Maandelijks,2,Nee,2,Beide,Laag,5,3,4,1,3,Verlies,2,Laag,4,Weerstand,Neutraal,Hoog,1,On-the-job,Geld,4,4,Laag,50/50,3-ploeg,Midden,Laag,Hoog,Klein,Snel,Laag,Nee,Google Meet,5,3,Neutraal,4,5,1,Proactief,Data-gedreven,8,5624
Volker Nexus Group,VNG-FZ9SZ4,Mason van Doorn,22,M,Nederlands,Zuid-Holland,MBO,Accountancy,Predictive Maintenance,4,1,Voorman,Infra,Team-38,Junior-Medior,Conservatief,INTP,Centrum-rechts,2,9,53,Mix,Nee,75,Formeel,Indirect,Ondersteunend,Consensus,Wekelijks,2,Ja,5,Mentor,Laag,4,4,3,4,5,Verlies,4,Hoog,3,Change champion,Risk-seeking,Hoog,5,Klassikaal,Zingeving,3,2,Midden,50/50,3-ploeg,Laag,Hoog,Midden,Klein,Snel,Midden,Nee,Microsoft Teams,5,2,Neutraal,5,3,5,Stilhouden,Ervarings-gedreven,39,4480
Volker Nexus Group,VNG-JULXBY,Olivier Breugelensis,35,M,Nederlands,Gelderland,Bachelor,Logistiek,Nul-op-de-meter,6,3,Scrum Master,Data & Analytics,Team-45,Junior-Medior,Innovatief,ESFJ,Rechts,3,70,31,Fiets,Nee,75,Informeel,Indirect,Sturend,Autonoom,Dagelijks,2,Ja,4,Mentee,Laag,3,5,2,1,1,Neutraal,3,Laag,5,Volger,Risk-averse,Laag,5,Klassikaal,Status,1,4,Laag,75/25,2-ploeg,Hoog,Hoog,Hoog,Geen,Traag,Laag,Nee,Google Meet,1,2,Proactief,4,1,5,Proactief,Data-gedreven,28,5860
Volker Nexus Group,VNG-ET8AIK,Joëlle Heyne,47,V,Nederlands,Groningen,MBO,Veiligheidskunde,BREEAM,3,3,Monteur E-tech,Juridisch,Team-45,Junior,Visionair,ISTP,Rechts,1,60,50,Mix,Nee,50,Feitelijk,Indirect,Afwezig,Top-down,Maandelijks,0,Nee,0,Mentee,Hoog,5,4,4,5,3,Neutraal,5,Laag,2,Change champion,Neutraal,Laag,5,On-the-job,Geld,4,1,Hoog,75/25,3-ploeg,Hoog,Midden,Laag,Geen,Snel,Hoog,Nee,Google Meet,5,2,Sceptisch,4,5,1,Stilhouden,Data-gedreven,14,3410
Volker Nexus Group,VNG-IK7YJX,Boaz Smith,45,M,Nederlands,Groningen,WO,Toegepaste Psychologie,Asset Management,2,1,Engineer E,Engineering,Team-20,Junior,Conservatief,ESFP,Links,3,76,20,Auto,Nee,0,Informeel,Indirect,Sturend,Consensus,Dagelijks,1,Ja,1,Mentee,Gemiddeld,4,1,2,5,2,Kans,2,Laag,1,Weerstand,Risk-averse,Midden,3,Coaching,Status,2,3,Hoog,25/75,2-ploeg,Laag,Laag,Midden,Geen,Snel,Hoog,Ja,Slack,2,2,Proactief,3,3,3,Formalistisch,Intuïtief,32,4332
Volker Nexus Group,VNG-ZU5GFA,Fien Simons,49,M,Nederlands,Flevoland,MBO,Werktuigbouwkunde,BIM,0,0,Monteur W-tech,Inkoop,Team-28,Starter,Reactief,ENTP,Centrum-rechts,2,60,50,OV,Nee,0,Formeel,Voorzichtig,Sturend,Top-down,Dagelijks,6,Nee,4,Beide,Hoog,4,1,4,1,2,Verlies,5,Hoog,3,Volger,Risk-seeking,Midden,1,Coaching,Zekerheid,5,5,Laag,100% kantoor,Geen,Hoog,Midden,Laag,Groot,Snel,Midden,Ja,Slack,4,5,Sceptisch,5,5,4,Proactief,Data-gedreven,30,3000
Volker Nexus Group,VNG-JTIQ7N,Lola van Ooste,38,X,Nederlands,Overijssel,WO,Bouwkunde,Prefab/Modulair,17,3,Communicatieadviseur,Engineering,Team-37,Senior,Reactief,INFP,Centrum,1,70,54,Mix,Nee,75,Verbindend,Voorzichtig,Ondersteunend,Autonoom,Zelden,6,Nee,0,Mentor,Gemiddeld,3,2,2,4,5,Neutraal,1,Gemiddeld,4,Volger,Neutraal,Hoog,2,Klassikaal,Groei,4,5,Laag,75/25,3-ploeg,Hoog,Hoog,Laag,Geen,Traag,Midden,Ja,Microsoft Teams,4,5,Neutraal,4,4,1,Stilhouden,Intuïtief,16,9438
Volker Nexus Group,VNG-LNC5L1,Brian Lind,33,M,Nederlands,Zeeland,HBO,Elektrotechniek,ISO-14001,4,4,Cloud Engineer,Bouw,Team-26,Junior-Medior,Neutraal,ESTP,Centrum,1,86,11,Auto,Nee,25,Informeel,Direct,Sturend,Consensus,Wekelijks,4,Ja,3,Mentor,Hoog,4,3,4,4,4,Kans,2,Gemiddeld,2,Weerstand,Neutraal,Midden,1,Klassikaal,Zingeving,3,3,Hoog,100% field,3-ploeg,Hoog,Midden,Hoog,Groot,Snel,Hoog,Ja,Slack,1,3,Sceptisch,2,3,2,Stilhouden,Intuïtief,22,5680
Volker Nexus Group,VNG-NLRKFO,Ilse Nihoe,33,V,Nederlands,Groningen,MBO,Bedrijfskunde,Databricks,4,4,Werkvoorbereider,Materieel & Logistiek,Team-20,Junior-Medior,Visionair,ISTP,Centrum,2,36,0,Te voet,Nee,0,Verbindend,Indirect,Afwezig,Autonoom,Zelden,4,Nee,1,Mentor,Gemiddeld,5,4,4,2,4,Kans,3,Laag,1,Volger,Neutraal,Midden,5,E-learning,Groei,1,1,Hoog,25/75,3-ploeg,Hoog,Midden,Hoog,Geen,Traag,Hoog,Nee,Microsoft Teams,3,2,Proactief,3,1,4,Stilhouden,Ervarings-gedreven,13,4240
Volker Nexus Group,VNG-JRRAVJ,Bo van der Loo-Dubois,29,V,Turks-Nederlands,Gelderland,HBO,Scheikunde,Planning,12,12,MLOps Engineer,Bouw,Team-38,Medior-Senior,Innovatief,ISTJ,Centrum-links,1,70,19,OV,Nee,100,Formeel,Indirect,Afwezig,Consensus,Dagelijks,2,Nee,3,Beide,Hoog,3,4,3,3,1,Verlies,1,Gemiddeld,3,Volger,Risk-seeking,Midden,3,E-learning,Status,4,5,Midden,50/50,Geen,Hoog,Laag,Laag,Geen,Snel,Hoog,Nee,Google Meet,1,3,Sceptisch,4,4,4,Proactief,Data-gedreven,17,9696
Volker Nexus Group,VNG-YJWNYG,Dave Totwiller,36,M,Nederlands,Flevoland,PhD,Civiele Techniek,Nul-op-de-meter,2,2,BIM-coördinator,Infra,Team-06,Junior,Reactief,ESFJ,Centrum-rechts,1,70,0,Mix,Nee,25,Informeel,Voorzichtig,Afwezig,Autonoom,Wekelijks,3,Ja,1,Mentor,Laag,3,5,4,5,3,Neutraal,4,Gemiddeld,3,Weerstand,Risk-seeking,Hoog,4,E-learning,Groei,3,3,Hoog,75/25,3-ploeg,Laag,Laag,Laag,Middel,Traag,Midden,Nee,Microsoft Teams,2,5,Neutraal,4,1,3,Proactief,Ervarings-gedreven,39,4608
Volker Nexus Group,VNG-U65PF5,Hamza Hermans,35,M,Nederlands,Friesland,HBO,Logistiek,LCA,4,1,Data Engineer,ICT,Team-25,Junior-Medior,Reactief,ISTJ,Centrum-rechts,2,100,28,OV,Nee,50,Informeel,Voorzichtig,Ondersteunend,Autonoom,Maandelijks,0,Nee,3,Mentee,Hoog,4,4,2,1,2,Kans,1,Laag,2,Volger,Neutraal,Hoog,5,Klassikaal,Status,3,1,Hoog,25/75,Geen,Laag,Midden,Midden,Middel,Traag,Midden,Nee,Zoom,5,4,Proactief,2,5,3,Stilhouden,Ervarings-gedreven,39,5640
Volker Nexus Group,VNG-AS320O,Mike Ariens Ansems,44,X,Nederlands,Noord-Brabant,MBO,Natuurkunde,Warmtepompen,7,1,Monteur E-tech,Commercie/BD,Team-13,Medior,Innovatief,ESTJ,Centrum,2,60,50,Auto,Nee,0,Formeel,Voorzichtig,Coachend,Top-down,Maandelijks,2,Ja,3,Mentor,Laag,4,4,1,4,3,Kans,4,Hoog,1,Change champion,Risk-seeking,Hoog,5,Coaching,Zingeving,2,3,Laag,25/75,3-ploeg,Laag,Laag,Laag,Geen,Snel,Laag,Nee,Slack,1,5,Neutraal,1,5,4,Stilhouden,Data-gedreven,33,4521
Volker Nexus Group,VNG-7R253C,Lot van Kasteelen-Room,18,V,Surinaams-Nederlands,Friesland,MBO,Bouwkunde,BIM,2,2,Werkvoorbereider,Bouw,Team-25,Junior,Innovatief,ESTJ,Centrum-links,3,24,23,Te voet,Nee,0,Verbindend,Indirect,Ondersteunend,Top-down,Maandelijks,2,Nee,4,Geen,Gemiddeld,3,2,2,2,1,Kans,2,Hoog,3,Weerstand,Risk-averse,Laag,3,Klassikaal,Groei,2,3,Midden,75/25,2-ploeg,Laag,Midden,Hoog,Geen,Gemiddeld,Laag,Nee,Zoom,1,2,Neutraal,1,5,1,Formalistisch,Ervarings-gedreven,23,3724
Volker Nexus Group,VNG-S9C5ZJ,Dion Peronne,49,M,Pools-Nederlands,Flevoland,PhD,Bedrijfskunde,Contractrecht,2,2,Finance Controller,Juridisch,Team-40,Junior,Reactief,ISFJ,Links,4,72,45,Auto,Ja,50,Formeel,Direct,Afwezig,Consensus,Zelden,5,Nee,3,Beide,Hoog,2,4,5,5,5,Verlies,5,Laag,5,Weerstand,Neutraal,Midden,3,Klassikaal,Zekerheid,1,3,Laag,100% kantoor,2-ploeg,Midden,Hoog,Hoog,Middel,Traag,Hoog,Nee,Google Meet,1,2,Neutraal,1,2,2,Formalistisch,Data-gedreven,32,4959
Volker Nexus Group,VNG-MWLACH,Melissa van Ommeren,39,M,Nederlands,Friesland,MBO,Data Science,Nul-op-de-meter,4,0,BIM-modelleur,Bouw,Team-16,Junior-Medior,Conservatief,ISFP,Links,5,74,52,Auto,Ja,0,Verbindend,Direct,Sturend,Top-down,Maandelijks,2,Nee,0,Mentee,Laag,3,1,4,2,5,Neutraal,1,Hoog,5,Volger,Neutraal,Laag,1,E-learning,Zekerheid,3,2,Hoog,25/75,2-ploeg,Midden,Hoog,Midden,Middel,Snel,Hoog,Ja,Zoom,2,2,Sceptisch,5,4,1,Stilhouden,Ervarings-gedreven,22,4040
Volker Nexus Group,VNG-H2ABVZ,Juul Rouwhorst-Nieuwstraten,35,V,Nederlands,Zuid-Holland,HBO,Kwaliteitsmanagement,ARBO,6,6,Voorman,Bouw,Team-30,Junior-Medior,Neutraal,INTP,Links,3,33,50,Auto,Ja,0,Feitelijk,Direct,Coachend,Consensus,Dagelijks,2,Ja,2,Geen,Hoog,4,2,4,4,2,Kans,4,Hoog,2,Volger,Risk-seeking,Laag,3,On-the-job,Zingeving,3,5,Midden,50/50,2-ploeg,Hoog,Hoog,Laag,Geen,Gemiddeld,Midden,Ja,Slack,4,4,Neutraal,3,1,5,Stilhouden,Intuïtief,12,4820
Volker Nexus Group,VNG-LMIVQ9,Lola Jerusalem,36,V,Nederlands,Utrecht,MBO,Natuurkunde,RAG,13,10,Uitvoerder,Materieel & Logistiek,Team-02,Medior-Senior,Visionair,ISTP,Centrum-links,5,24,50,Auto,Ja,50,Feitelijk,Direct,Afwezig,Autonoom,Wekelijks,4,Nee,4,Mentor,Gemiddeld,3,2,5,4,1,Kans,1,Laag,2,Weerstand,Risk-seeking,Hoog,3,On-the-job,Geld,4,4,Laag,100% field,2-ploeg,Laag,Laag,Midden,Groot,Snel,Hoog,Ja,Microsoft Teams,3,5,Proactief,1,1,5,Stilhouden,Data-gedreven,13,8160
Volker Nexus Group,VNG-NXMELT,Bilal Otto,40,X,Nederlands,Utrecht,WO,Stedenbouw,Databricks,12,2,Projectleider,Projectontwikkeling,Team-37,Medior-Senior,Reactief,INFJ,Centrum,5,45,0,Te voet,Ja,75,Formeel,Indirect,Sturend,Top-down,Dagelijks,3,Ja,5,Beide,Laag,3,5,5,1,4,Verlies,4,Gemiddeld,5,Weerstand,Risk-averse,Midden,4,Coaching,Geld,2,3,Hoog,100% field,3-ploeg,Midden,Midden,Laag,Klein,Snel,Hoog,Ja,Google Meet,3,3,Proactief,5,3,2,Proactief,Data-gedreven,36,8976
Volker Nexus Group,VNG-EMZWYH,Kai van den Eerenbeemt,29,V,Nederlands,Friesland,WO,Stedenbouw,ARBO,1,0,Environmental Specialist,KAM/HSSE,Team-31,Starter,Neutraal,ISFP,Centrum-links,3,67,23,Mix,Nee,0,Verbindend,Direct,Sturend,Consensus,Maandelijks,2,Ja,2,Mentor,Hoog,5,1,3,2,4,Verlies,5,Gemiddeld,1,Change champion,Risk-averse,Midden,5,Coaching,Status,3,4,Laag,50/50,3-ploeg,Laag,Midden,Laag,Middel,Gemiddeld,Laag,Nee,Zoom,2,3,Proactief,3,1,4,Stilhouden,Ervarings-gedreven,33,3740
Volker Nexus Group,VNG-VQ1FZO,Elisa Velderman,33,V,Nederlands,Noord-Brabant,PhD,Installatietechniek,Predictive Maintenance,2,0,Inkoper,HR,Team-25,Junior,Visionair,ISTP,Centrum-links,4,80,13,Te voet,Nee,75,Verbindend,Direct,Coachend,Autonoom,Dagelijks,4,Ja,3,Mentee,Hoog,5,1,2,1,4,Neutraal,5,Laag,1,Change champion,Neutraal,Midden,4,Klassikaal,Status,4,2,Hoog,25/75,2-ploeg,Hoog,Midden,Hoog,Groot,Traag,Hoog,Ja,Slack,2,1,Neutraal,2,3,4,Formalistisch,Intuïtief,34,4104
Volker Nexus Group,VNG-ATJKJE,Dex Roose-Die Bont,18,M,Nederlands,Drenthe,Bachelor,Werktuigbouwkunde,Circulair Bouwen,5,0,Inkoper,Duurzaamheid,Team-16,Junior-Medior,Neutraal,ISTP,Links,1,0,11,Auto,Nee,25,Feitelijk,Voorzichtig,Afwezig,Consensus,Dagelijks,4,Nee,1,Mentor,Hoog,1,3,5,2,1,Kans,3,Hoog,2,Weerstand,Neutraal,Midden,4,E-learning,Status,3,3,Laag,75/25,Geen,Laag,Hoog,Hoog,Middel,Traag,Laag,Ja,Zoom,3,3,Neutraal,1,3,5,Formalistisch,Ervarings-gedreven,7,4800
Volker Nexus Group,VNG-75DFGY,Kick de Jong,27,V,Nederlands,Overijssel,WO,Bedrijfskunde,Contractrecht,16,5,Inkoper,Infra,Team-06,Senior,Reactief,INFJ,Centrum,5,60,48,Fiets,Nee,50,Formeel,Indirect,Afwezig,Consensus,Wekelijks,0,Ja,3,Beide,Hoog,3,3,2,5,3,Kans,3,Laag,1,Weerstand,Risk-averse,Hoog,1,Coaching,Geld,1,5,Laag,75/25,2-ploeg,Midden,Laag,Laag,Geen,Traag,Laag,Nee,Zoom,5,5,Sceptisch,4,5,2,Stilhouden,Intuïtief,38,8528
Volker Nexus Group,VNG-OHHQH7,Lindsey van Heusden-Koret,35,X,Nederlands,Overijssel,MBO,Communicatie,LCA,1,0,Monteur W-tech,Projectontwikkeling,Team-28,Starter,Conservatief,ISFP,Centrum-links,5,60,50,OV,Nee,50,Informeel,Indirect,Coachend,Autonoom,Wekelijks,3,Ja,0,Geen,Laag,3,3,1,4,1,Verlies,2,Hoog,5,Weerstand,Risk-seeking,Hoog,1,Klassikaal,Zingeving,1,2,Midden,75/25,2-ploeg,Midden,Laag,Midden,Groot,Traag,Laag,Nee,Microsoft Teams,5,3,Proactief,3,5,3,Proactief,Intuïtief,18,3000
Volker Nexus Group,VNG-Z8GEY5,Jan van Roijen,18,X,Turks-Nederlands,Overijssel,HBO,Software Engineering,UAV-gc,5,1,Recruiter,KAM/HSSE,Team-15,Junior-Medior,Conservatief,ISTJ,Centrum,2,82,50,OV,Nee,0,Formeel,Voorzichtig,Coachend,Autonoom,Wekelijks,0,Nee,3,Mentor,Laag,4,5,2,3,3,Verlies,1,Gemiddeld,2,Volger,Risk-seeking,Laag,3,E-learning,Status,3,5,Hoog,100% field,2-ploeg,Laag,Midden,Laag,Groot,Traag,Midden,Ja,Zoom,1,2,Sceptisch,4,2,3,Proactief,Data-gedreven,26,4600
